site_id,sunlight_hours,cloud_cover_pct,panel_area_m2,panel_age_years,inverter_efficiency,daily_output_kwh
SITE-0898,8.72,97.7,290.7,4.6,0.925,140.8
SITE-0899,10.96,61.6,173.0,11.7,0.939,206.9
SITE-0900,8.43,29.2,264.4,10.6,0.937,320.9
SITE-0901,6.68,27.5,199.0,10.7,0.838,170.1
SITE-0902,11.96,7.8,76.9,22.4,0.938,143.1
SITE-0903,7.84,68.9,34.1,8.3,0.89,25.8
SITE-0904,3.33,31.1,198.3,18.1,0.938,91.0
SITE-0905,2.07,18.9,280.6,20.1,0.927,81.0
SITE-0906,7.9,64.5,231.4,15.7,0.919,176.4
SITE-0907,3.0,80.0,214.1,27.5,0.927,46.2
SITE-0908,9.32,85.6,181.0,4.4,0.823,101.4
SITE-0909,10.93,6.7,99.2,18.6,0.855,160.5
SITE-0910,6.1,3.0,141.8,25.4,0.879,138.7
SITE-0911,6.57,13.1,56.9,5.4,0.941,72.2
SITE-0912,4.62,83.6,298.6,28.5,0.983,84.5
SITE-0913,12.06,12.9,229.9,3.8,0.844,412.2
SITE-0914,10.53,7.1,71.2,13.8,0.972,131.3
SITE-0915,5.36,61.0,142.3,0.6,0.892,82.4
SITE-0916,9.49,18.6,296.1,1.6,0.975,491.2
SITE-0917,13.0,6.7,143.3,0.3,0.922,318.4
SITE-0918,9.04,58.3,266.9,11.4,0.964,261.5
SITE-0919,13.52,28.1,42.8,12.3,0.847,74.3
SITE-0920,6.34,65.7,121.3,25.5,0.909,66.6
SITE-0921,4.96,39.1,248.6,9.9,0.937,154.6
SITE-0922,9.02,24.4,258.8,12.5,0.977,346.5
SITE-0923,7.07,81.6,180.3,21.9,0.833,78.5
SITE-0924,6.72,78.6,277.6,20.0,0.958,139.1
SITE-0925,5.08,3.4,280.9,10.7,0.863,241.8
SITE-0926,2.22,98.6,110.0,27.0,0.859,9.0
SITE-0927,4.3,50.7,116.0,12.3,0.963,58.2
SITE-0928,7.56,40.1,249.9,3.0,0.892,233.2
SITE-0929,2.36,79.4,45.2,3.8,0.874,7.2
SITE-0930,3.98,34.8,290.6,2.0,0.838,149.8
SITE-0931,4.33,21.9,287.8,2.2,0.979,214.7
SITE-0932,4.93,33.8,41.6,15.2,0.913,28.6
SITE-0933,11.96,11.6,239.9,14.4,0.959,461.0
SITE-0934,3.17,97.6,245.0,18.8,0.946,37.9
SITE-0935,13.13,10.4,112.8,19.3,0.971,244.0
SITE-0936,9.83,83.5,115.2,24.2,0.862,72.0
SITE-0937,7.52,25.3,273.8,21.8,0.978,311.0
SITE-0938,9.84,74.1,299.5,5.9,0.928,249.7
SITE-0939,2.12,69.9,119.6,8.7,0.918,20.8
SITE-0940,7.41,68.7,49.1,22.4,0.901,27.7
SITE-0941,10.17,80.6,186.7,16.7,0.827,123.9
SITE-0942,8.6,71.0,139.1,8.1,0.892,104.2
SITE-0943,10.43,20.8,23.2,3.1,0.922,37.1
SITE-0944,7.96,66.8,208.3,1.8,0.871,151.6
SITE-0945,6.87,93.0,143.7,17.2,0.84,51.6
SITE-0946,1.89,14.6,26.1,11.8,0.949,4.0
SITE-0947,7.2,77.0,112.9,9.8,0.916,60.1
SITE-0948,2.15,11.0,135.6,19.7,0.919,45.6
SITE-0949,6.45,41.2,140.8,14.9,0.962,106.1
SITE-0950,11.55,11.6,21.8,23.7,0.841,32.2
SITE-0951,13.97,95.5,158.4,4.5,0.834,116.5
SITE-0952,10.16,12.7,109.5,12.5,0.92,178.1
SITE-0953,12.48,59.8,72.0,4.8,0.823,82.4
SITE-0954,7.15,64.5,40.9,10.8,0.917,27.2
SITE-0955,9.22,95.0,112.4,28.8,0.972,54.4
SITE-0956,4.03,16.0,11.0,16.3,0.955,9.0
SITE-0957,12.37,27.2,218.9,3.6,0.867,366.4
SITE-0958,13.53,2.7,190.7,25.7,0.917,412.5
SITE-0959,3.13,38.1,64.1,13.7,0.916,24.7
SITE-0960,3.25,37.5,78.7,6.7,0.933,34.2
SITE-0961,3.88,66.4,121.4,22.1,0.912,43.8
SITE-0962,6.71,36.6,227.9,9.6,0.935,205.1
SITE-0963,11.76,0.9,193.2,4.2,0.841,383.5
SITE-0964,11.91,57.8,167.8,8.3,0.899,194.1
SITE-0965,10.46,93.1,221.7,26.0,0.83,105.3
SITE-0966,1.88,62.0,63.0,25.1,0.953,13.9
SITE-0967,1.82,15.8,257.4,12.7,0.902,70.9
SITE-0968,3.99,38.4,122.0,1.0,0.834,66.4
SITE-0969,5.89,87.5,165.1,1.5,0.842,68.7
SITE-0970,6.89,38.5,115.6,2.9,0.848,113.1
SITE-0971,1.34,37.0,91.2,24.8,0.886,17.3
SITE-0972,11.67,41.6,287.2,5.1,0.906,431.1
SITE-0973,8.53,94.3,287.0,15.7,0.855,128.4
SITE-0974,6.76,10.6,66.2,1.1,0.861,70.5
SITE-0975,9.89,74.8,15.0,7.5,0.847,7.4
SITE-0976,11.31,56.8,80.1,6.2,0.822,92.0
SITE-0977,13.48,95.7,251.2,5.8,0.878,174.4
SITE-0978,5.68,51.4,125.2,20.0,0.886,74.3
SITE-0979,8.62,42.8,23.3,16.5,0.927,21.3
SITE-0980,2.14,99.3,85.4,14.7,0.904,5.9
SITE-0981,8.09,52.1,294.4,2.1,0.865,276.4
SITE-0982,9.15,66.8,241.7,3.1,0.934,217.3
SITE-0983,10.69,73.9,148.4,21.1,0.969,137.2
SITE-0984,12.2,91.8,114.3,20.1,0.853,73.8
SITE-0985,4.97,83.5,23.9,9.8,0.897,8.2
SITE-0986,10.63,67.3,260.3,1.5,0.957,276.3
SITE-0987,5.28,34.9,231.8,5.5,0.889,161.0
SITE-0988,4.44,36.7,250.3,29.3,0.893,116.1
SITE-0989,5.48,32.3,94.3,9.7,0.88,66.0
SITE-0990,10.16,48.7,61.5,7.1,0.942,68.4
SITE-0991,13.15,81.5,214.5,26.2,0.952,192.8
SITE-0992,3.95,53.8,138.4,17.0,0.91,53.2
SITE-0993,11.02,35.8,248.6,7.6,0.889,359.0
SITE-0994,3.62,26.5,81.4,23.0,0.852,39.7
SITE-0995,1.39,26.3,153.0,24.2,0.987,29.3
SITE-0996,10.21,36.6,258.2,10.5,0.971,367.9
SITE-0997,11.49,29.7,257.2,22.5,0.954,378.8
SITE-0998,6.46,35.0,232.6,4.9,0.981,228.7
SITE-0999,10.94,88.9,73.3,8.7,0.877,45.6
SITE-1000,1.05,42.1,165.4,17.1,0.965,20.6
SITE-1001,4.92,57.9,222.5,1.6,0.933,118.7
SITE-1002,2.66,12.8,17.7,12.0,0.842,5.5
SITE-1003,13.78,38.2,203.8,1.1,0.913,383.6
SITE-1004,11.6,29.4,283.8,20.6,0.862,408.3
SITE-1005,6.4,70.6,56.9,8.2,0.987,27.7
SITE-1006,2.03,77.6,167.3,19.4,0.971,32.6
SITE-1007,10.44,72.2,259.8,10.8,0.82,204.7
SITE-1008,3.31,85.3,294.6,10.5,0.852,58.2
SITE-1009,4.03,75.0,43.6,24.4,0.855,10.0
SITE-1010,2.53,21.3,288.9,3.3,0.945,116.6
SITE-1011,6.74,38.6,77.9,0.6,0.987,74.2
SITE-1012,13.71,23.6,42.8,7.7,0.92,84.7
SITE-1013,6.2,34.7,70.9,22.0,0.912,53.4
SITE-1014,13.38,93.1,299.9,9.6,0.964,246.6
SITE-1015,12.67,73.0,279.7,20.4,0.912,273.8
SITE-1016,3.49,88.4,10.1,19.3,0.847,3.7
SITE-1017,2.96,85.3,225.1,12.2,0.844,44.7
SITE-1018,9.39,4.6,222.1,27.3,0.949,333.0
SITE-1019,4.85,90.6,158.2,19.2,0.839,35.1
SITE-1020,2.75,17.3,273.7,20.3,0.975,114.4
SITE-1021,5.32,71.9,34.5,13.7,0.856,13.9
SITE-1022,2.11,65.6,238.4,4.5,0.881,48.9
SITE-1023,2.01,65.8,97.3,6.4,0.864,12.6
SITE-1024,9.84,90.6,66.8,4.9,0.885,44.4
SITE-1025,4.15,94.4,230.9,1.3,0.898,56.7
SITE-1026,11.23,83.2,85.3,27.8,0.848,50.8
SITE-1027,1.35,33.7,278.7,6.5,0.827,50.9
SITE-1028,12.2,72.4,218.8,28.2,0.967,212.6
SITE-1029,13.01,94.3,234.7,29.4,0.964,169.9
SITE-1030,6.02,67.7,123.0,6.8,0.841,61.8
SITE-1031,6.75,72.0,229.8,14.9,0.9,127.0
SITE-1032,10.02,93.2,82.8,24.5,0.845,41.8
SITE-1033,4.83,10.5,175.1,15.3,0.922,140.3
SITE-1034,9.54,94.5,61.6,9.1,0.867,29.5
SITE-1035,9.83,59.9,178.8,16.5,0.912,175.6
SITE-1036,9.44,60.1,251.3,20.1,0.919,223.9
SITE-1037,6.51,48.2,18.8,24.2,0.925,11.4
SITE-1038,11.65,21.0,223.8,22.3,0.881,350.2
SITE-1039,8.9,33.4,31.2,24.3,0.901,31.9
SITE-1040,7.82,15.4,207.9,21.7,0.964,245.5
SITE-1041,9.46,64.2,169.1,8.1,0.898,151.7
SITE-1042,6.15,60.8,140.2,9.2,0.975,95.5
SITE-1043,1.08,72.0,219.3,1.7,0.826,19.1
SITE-1044,10.79,84.7,32.3,1.2,0.901,26.2
SITE-1045,13.48,59.0,153.6,19.0,0.845,193.2
SITE-1046,11.49,12.9,161.2,29.5,0.955,282.5
SITE-1047,1.39,72.0,268.6,29.4,0.919,24.9
SITE-1048,11.7,61.8,272.0,4.5,0.911,325.0
SITE-1049,9.53,59.8,186.5,17.0,0.899,170.2
SITE-1050,11.14,16.6,280.8,9.2,0.968,514.9
SITE-1051,6.66,60.8,121.0,3.1,0.986,82.4
SITE-1052,4.53,40.3,42.5,21.2,0.863,21.3
SITE-1053,2.61,92.5,258.7,15.5,0.908,40.7
SITE-1054,5.05,48.4,69.0,1.5,0.978,37.4
SITE-1055,1.42,23.6,58.1,3.9,0.989,12.2
SITE-1056,10.71,83.5,101.6,8.5,0.918,72.9
SITE-1057,5.5,24.1,24.2,18.0,0.878,17.6
SITE-1058,5.44,73.1,273.5,14.3,0.852,108.7
SITE-1059,1.67,85.2,213.5,26.2,0.988,21.8
SITE-1060,2.41,40.2,71.8,16.3,0.939,25.2
SITE-1061,10.67,84.8,163.1,5.9,0.91,126.1
SITE-1062,13.17,33.6,144.2,3.6,0.954,277.3
SITE-1063,3.97,48.5,157.4,5.1,0.914,73.9
SITE-1064,9.68,71.6,87.5,17.6,0.932,70.7
SITE-1065,8.29,69.2,238.2,5.3,0.897,166.6
SITE-1066,2.5,6.4,256.4,5.5,0.865,103.8
SITE-1067,10.89,57.2,176.7,23.5,0.922,182.2
SITE-1068,7.34,56.7,294.2,6.3,0.872,209.0
SITE-1069,2.01,86.3,190.5,20.2,0.917,20.0
SITE-1070,3.55,3.0,181.1,11.2,0.84,105.7
SITE-1071,7.49,33.5,164.8,23.2,0.91,142.5
SITE-1072,4.06,1.6,162.2,24.9,0.83,96.9
SITE-1073,13.01,36.8,40.5,21.6,0.918,58.6
SITE-1074,4.81,58.1,139.2,2.3,0.896,71.3
SITE-1075,5.57,45.6,190.3,18.8,0.822,105.9
SITE-1076,13.81,67.7,213.1,16.9,0.899,251.6
SITE-1077,13.22,34.2,123.8,4.5,0.913,226.1
SITE-1078,1.88,69.3,77.0,1.4,0.844,14.2
SITE-1079,1.92,79.7,145.0,25.4,0.899,21.5
SITE-1080,5.68,47.4,57.4,25.3,0.894,33.1
SITE-1081,13.91,75.5,40.8,17.8,0.951,39.8
SITE-1082,6.2,50.0,20.2,17.9,0.913,16.7
SITE-1083,5.48,32.5,266.1,14.9,0.838,172.6
SITE-1084,11.36,48.9,69.6,15.8,0.862,88.2
SITE-1085,11.85,5.4,136.6,12.2,0.951,270.5
SITE-1086,4.38,17.3,236.6,5.3,0.959,181.6
SITE-1087,5.18,53.1,288.4,19.4,0.888,143.7
SITE-1088,2.14,72.7,53.5,8.1,0.952,9.1
SITE-1089,1.83,18.7,179.7,13.5,0.824,44.7
SITE-1090,8.83,15.8,89.1,13.3,0.875,107.1
SITE-1091,9.96,60.4,223.3,2.4,0.836,213.8
SITE-1092,5.73,74.1,234.2,3.4,0.856,101.8
SITE-1093,8.06,91.7,164.9,24.5,0.882,67.0
SITE-1094,10.91,41.1,39.0,27.9,0.826,44.0
SITE-1095,2.88,30.1,40.5,19.3,0.989,19.0
SITE-1096,13.95,80.1,243.3,23.5,0.92,228.4
SITE-1097,12.67,75.3,167.4,27.9,0.928,150.1
SITE-1098,13.55,35.7,244.6,0.1,0.899,452.5
SITE-1099,3.11,23.4,35.0,25.1,0.854,12.3
SITE-1100,3.94,34.2,169.6,23.1,0.829,79.8
SITE-1101,5.21,6.4,272.6,9.3,0.916,236.2
SITE-1102,11.27,41.5,255.7,27.5,0.903,310.2
SITE-1103,5.42,6.9,72.8,19.4,0.893,70.1
SITE-1104,9.56,83.7,272.8,9.5,0.936,188.0
SITE-1105,8.72,32.4,91.8,24.2,0.954,106.6
SITE-1106,11.3,74.3,283.1,19.7,0.952,256.8
SITE-1107,12.01,21.5,128.4,25.7,0.834,190.7
SITE-1108,2.03,47.3,249.5,7.9,0.99,60.2
SITE-1109,13.42,67.7,201.5,18.4,0.824,216.7
SITE-1110,6.12,49.9,172.5,7.9,0.967,126.9
SITE-1111,6.56,13.6,115.6,27.4,0.842,97.9
SITE-1112,7.02,88.8,125.7,23.5,0.835,52.3
SITE-1113,1.2,62.0,100.6,10.6,0.841,12.1
SITE-1114,4.54,16.5,268.3,12.5,0.845,174.3
SITE-1115,10.99,5.8,144.7,25.8,0.888,233.7
SITE-1116,5.98,35.5,142.7,23.2,0.905,99.2
SITE-1117,12.83,30.3,137.2,19.7,0.984,250.8
SITE-1118,13.62,65.9,239.5,25.7,0.981,290.2
SITE-1119,8.21,85.9,30.7,15.7,0.939,21.0
SITE-1120,12.4,40.6,294.9,5.9,0.828,412.0
SITE-1121,2.65,33.3,242.4,24.0,0.86,77.1
SITE-1122,4.31,79.7,295.0,24.9,0.914,89.7
SITE-1123,11.72,76.2,269.6,10.1,0.905,256.0
SITE-1124,6.57,25.0,48.3,17.1,0.853,43.0
SITE-1125,12.2,44.9,274.1,8.6,0.831,370.3
SITE-1126,13.68,19.7,70.9,0.3,0.981,172.3
SITE-1127,6.53,50.7,31.0,16.6,0.884,18.0
SITE-1128,1.99,35.7,44.4,16.4,0.865,11.6
SITE-1129,8.16,32.0,295.1,18.4,0.875,300.8
SITE-1130,7.84,28.0,30.1,14.6,0.835,28.6
SITE-1131,10.46,53.7,155.2,26.3,0.937,167.3
SITE-1132,5.76,77.2,219.0,23.7,0.856,78.1
SITE-1133,12.44,32.9,264.6,5.9,0.96,495.3
SITE-1134,6.87,39.8,245.8,16.2,0.923,192.1
SITE-1135,3.51,66.5,155.2,14.4,0.931,49.3
SITE-1136,10.92,45.8,259.8,7.6,0.931,342.1
SITE-1137,10.24,63.5,266.6,2.6,0.927,274.9
SITE-1138,4.09,74.2,8.8,14.3,0.843,3.6
SITE-1139,13.96,48.6,188.0,10.8,0.93,308.0
SITE-1140,7.59,51.1,199.4,5.4,0.875,158.1
SITE-1141,9.68,97.7,222.4,4.6,0.905,106.2
SITE-1142,5.96,64.9,43.5,1.4,0.969,28.1
SITE-1143,4.49,80.3,84.0,5.8,0.894,28.7
SITE-1144,10.09,99.7,268.0,26.5,0.892,121.4
SITE-1145,9.38,20.1,34.6,20.6,0.892,48.0
SITE-1146,10.5,83.9,23.6,27.6,0.886,11.8
SITE-1147,13.94,5.9,79.6,3.8,0.834,177.4
SITE-1148,10.08,42.7,21.8,26.9,0.859,21.7
SITE-1149,11.75,47.6,231.5,10.1,0.867,305.8
SITE-1150,4.53,54.3,175.4,14.4,0.984,90.7
SITE-1151,5.96,74.1,270.6,30.0,0.869,106.9
SITE-1152,8.34,60.8,130.3,26.0,0.871,88.8
SITE-1153,10.06,3.7,228.4,3.8,0.839,377.8
SITE-1154,11.96,43.6,106.8,26.1,0.899,134.4
SITE-1155,5.08,70.3,23.2,22.0,0.913,9.9
SITE-1156,12.28,95.6,180.5,21.9,0.937,116.4
SITE-1157,4.95,79.2,236.2,18.3,0.905,85.3
SITE-1158,8.36,37.8,30.4,0.1,0.885,33.8
SITE-1159,4.93,51.8,104.1,4.9,0.981,56.2
SITE-1160,4.27,36.9,206.0,25.5,0.977,108.6
SITE-1161,7.56,75.5,89.0,25.7,0.826,43.2
SITE-1162,13.14,59.2,13.1,15.9,0.846,16.0
SITE-1163,6.7,52.3,168.8,9.2,0.906,116.7
SITE-1164,4.11,0.6,18.4,13.2,0.847,6.7
SITE-1165,4.86,70.7,151.4,5.8,0.83,59.9
SITE-1166,13.65,2.6,97.1,20.5,0.856,194.2
SITE-1167,11.42,57.4,35.1,13.3,0.858,37.9
SITE-1168,10.77,16.3,125.6,11.9,0.983,225.2
SITE-1169,10.34,98.2,299.0,19.9,0.886,153.5
SITE-1170,1.84,80.5,257.4,2.9,0.865,32.0
SITE-1171,9.67,5.9,18.7,19.8,0.965,22.2
SITE-1172,7.48,54.5,105.5,19.2,0.858,78.0
SITE-1173,1.44,99.1,181.5,3.3,0.843,17.1
SITE-1174,11.6,47.9,63.3,22.8,0.843,72.7
SITE-1175,3.08,28.2,257.0,16.8,0.97,116.4
SITE-1176,11.76,68.0,32.4,26.3,0.944,25.9
SITE-1177,5.05,92.6,176.7,7.2,0.83,45.8
SITE-1178,4.02,19.6,84.9,13.4,0.862,48.7
SITE-1179,2.63,96.8,129.0,10.3,0.92,20.3
SITE-1180,3.58,98.1,275.7,18.1,0.917,50.4
SITE-1181,6.11,0.9,257.5,26.2,0.942,243.7
SITE-1182,1.39,2.5,275.6,0.2,0.942,74.1
SITE-1183,4.46,80.5,154.4,4.3,0.956,61.0
SITE-1184,4.64,39.7,11.1,13.6,0.828,12.3
SITE-1185,13.42,10.5,200.9,7.7,0.989,479.7
SITE-1186,13.15,48.3,236.8,1.6,0.954,389.5
SITE-1187,4.23,35.9,69.2,23.2,0.853,23.9
SITE-1188,4.94,67.7,169.3,23.1,0.886,63.9
SITE-1189,3.1,28.2,94.8,13.1,0.96,33.5
SITE-1190,12.05,89.7,288.3,9.7,0.916,210.5
SITE-1191,6.84,92.5,174.7,5.9,0.92,75.3
SITE-1192,7.95,66.7,284.0,25.7,0.922,185.9
SITE-1193,2.79,25.6,205.2,28.5,0.911,67.1
SITE-1194,11.67,53.1,50.7,12.0,0.931,68.5
SITE-1195,2.46,68.8,13.4,18.2,0.825,0.3
SITE-1196,2.28,42.9,131.8,14.2,0.947,38.9
SITE-1197,6.03,20.3,217.3,18.9,0.959,191.7
SITE-1198,8.08,83.1,93.0,24.0,0.93,52.2
SITE-1199,12.84,23.3,229.9,24.6,0.844,367.3
SITE-1200,9.36,86.6,291.3,29.3,0.868,157.6
