route_id,distance_km,parcel_weight_kg,planned_stops,traffic_index,rain_mm,warehouse_queue_min,priority_service,delivery_minutes
R0869,7.19,2.99,11,0.762,0.0,4.26,0,84.5
R0870,24.25,1.17,12,0.864,0.29,6.2,0,145.6
R0871,24.0,3.17,14,0.709,7.46,1.93,1,129.7
R0872,4.12,3.17,9,0.471,1.2,1.92,0,48.1
R0873,30.35,4.75,8,0.814,0.0,0.9,0,152.0
R0874,27.18,6.45,8,0.76,0.0,21.46,1,155.4
R0875,19.17,3.34,13,0.687,0.0,3.97,0,102.8
R0876,21.99,0.94,7,0.592,4.66,11.01,0,99.8
R0877,17.71,2.4,4,0.747,0.0,1.43,0,72.9
R0878,16.14,1.14,7,0.529,0.0,7.38,0,71.9
R0879,15.16,3.57,13,0.259,0.0,8.6,1,78.9
R0880,21.62,7.08,9,0.353,0.0,2.24,0,82.6
R0881,16.3,2.31,10,0.527,0.0,6.18,1,75.1
R0882,21.31,5.58,14,0.833,5.94,8.81,0,150.8
R0883,5.55,3.54,12,0.311,1.93,12.27,0,64.7
R0884,16.09,6.27,8,0.682,0.0,11.48,0,85.6
R0885,1.33,5.02,9,0.882,0.0,2.33,1,45.4
R0886,1.43,2.64,2,0.78,0.0,2.82,0,23.0
R0887,18.84,5.41,7,0.821,0.0,1.92,1,98.3
R0888,25.94,2.55,7,0.462,0.0,3.56,0,90.5
R0889,26.34,4.17,11,0.663,0.0,5.83,0,123.4
R0890,17.1,6.44,14,0.648,0.0,3.54,0,102.5
R0891,31.12,2.23,11,0.643,0.0,6.51,0,134.9
R0892,29.89,2.08,12,0.314,9.67,5.22,1,116.3
R0893,21.64,1.95,4,0.508,16.46,6.09,0,87.6
R0894,31.26,2.77,8,0.886,3.09,2.24,0,165.7
R0895,26.47,4.94,5,0.615,0.0,7.19,0,106.8
R0896,25.6,3.65,3,0.8,0.0,0.93,0,115.4
R0897,14.81,3.94,14,0.61,0.0,7.04,0,97.7
R0898,18.9,11.86,5,0.451,0.52,7.65,0,77.4
R0899,23.6,9.62,14,0.538,0.0,2.83,0,115.1
R0900,4.6,7.57,14,0.611,12.11,8.57,1,77.2
R0901,12.32,2.92,5,0.235,0.51,8.73,0,62.8
R0902,31.05,5.86,6,0.674,0.0,8.13,1,110.0
R0903,11.3,7.0,10,0.274,6.07,4.95,0,63.6
R0904,6.55,2.96,4,0.388,0.0,6.63,0,33.7
R0905,21.11,3.08,13,0.404,7.46,8.97,0,104.2
R0906,17.87,1.58,10,0.397,0.0,4.34,1,71.9
R0907,22.12,0.74,4,0.3,2.67,5.03,0,74.4
R0908,8.6,4.28,2,0.305,0.0,5.41,0,47.3
R0909,20.53,5.5,2,0.354,0.0,3.7,1,58.0
R0910,17.1,1.35,1,0.48,5.69,11.21,0,61.5
R0911,13.02,8.35,14,0.716,0.0,2.45,0,87.8
R0912,8.08,3.33,4,0.588,0.0,1.71,0,48.0
R0913,21.98,2.57,14,0.455,0.0,5.72,0,109.0
R0914,9.34,2.63,6,0.48,0.8,5.84,0,59.2
R0915,25.71,5.16,3,0.32,0.0,10.46,1,80.8
R0916,12.42,2.35,13,0.885,0.0,5.3,1,103.7
R0917,16.61,6.81,1,0.764,3.28,3.68,0,73.9
R0918,15.12,11.98,4,0.674,3.36,10.46,0,75.9
R0919,18.94,9.77,6,0.695,0.0,16.92,0,105.4
R0920,26.41,2.88,7,0.335,0.0,6.32,0,91.3
R0921,10.51,2.6,3,0.575,0.0,7.91,1,48.9
R0922,29.15,2.66,7,0.5,0.0,14.36,1,111.0
R0923,11.7,4.31,1,0.403,0.48,3.78,0,42.9
R0924,27.8,5.54,5,0.626,0.0,11.47,0,111.3
R0925,18.95,0.71,10,0.365,0.0,1.24,0,81.3
R0926,2.01,2.8,7,0.693,0.0,0.4,0,41.8
R0927,4.07,2.84,6,0.424,0.0,4.12,0,49.5
R0928,26.73,5.27,14,0.775,1.73,13.38,0,173.2
R0929,25.54,4.48,13,0.604,0.0,3.2,0,120.1
R0930,13.92,3.48,9,0.357,0.0,6.33,1,68.5
R0931,28.23,2.37,11,0.783,0.18,13.03,0,166.4
R0932,17.82,4.99,12,0.399,0.01,3.16,1,81.4
R0933,16.0,3.02,1,0.761,0.0,5.82,0,77.5
R0934,18.51,1.12,12,0.856,0.38,1.91,0,123.8
R0935,21.77,4.57,12,0.428,10.32,4.86,0,101.1
R0936,11.54,3.04,3,0.43,0.0,3.97,0,52.6
R0937,20.03,3.38,10,0.756,0.0,3.21,0,125.1
R0938,13.75,4.31,8,0.935,0.78,5.59,0,99.2
R0939,31.58,2.23,8,0.551,3.89,3.44,0,116.0
R0940,19.82,9.09,2,0.471,0.0,5.78,0,66.8
R0941,15.94,5.67,1,0.543,0.0,4.6,1,53.9
R0942,20.18,5.36,2,0.45,0.0,3.68,0,65.7
R0943,6.01,9.06,10,0.582,0.0,6.6,0,60.3
R0944,31.27,4.85,4,0.766,0.0,15.72,0,153.1
R0945,6.31,3.97,9,0.481,0.0,1.01,0,52.9
R0946,14.12,3.53,13,0.67,4.54,2.34,0,103.7
R0947,15.43,9.51,7,0.478,0.0,10.31,1,72.4
R0948,19.54,2.31,8,0.602,2.34,17.23,1,102.1
R0949,10.91,6.29,2,0.629,0.0,5.51,0,53.4
R0950,9.14,4.43,3,0.566,0.0,11.07,0,58.0
R0951,25.7,3.48,11,0.782,1.42,9.92,0,149.4
R0952,4.62,3.52,8,0.666,0.0,3.35,1,51.8
R0953,24.75,5.58,14,0.264,0.82,5.73,0,105.6
R0954,2.2,1.59,13,0.619,0.0,7.51,0,65.6
R0955,19.03,2.9,12,0.389,4.83,9.81,0,93.2
R0956,14.27,5.6,8,0.927,0.0,3.41,0,100.2
R0957,25.96,8.72,1,0.646,6.59,1.11,0,84.5
R0958,11.21,8.73,5,0.768,1.16,4.79,0,75.9
R0959,20.57,5.33,1,0.746,0.0,8.05,1,68.1
R0960,11.69,3.04,5,0.392,0.0,5.87,1,50.2
R0961,9.08,7.84,6,0.456,1.02,4.12,0,55.1
R0962,7.04,6.93,2,0.574,0.34,6.15,0,42.0
R0963,19.32,2.09,8,0.623,0.0,2.56,0,90.1
R0964,20.15,3.8,2,0.544,0.0,3.91,1,61.6
R0965,7.72,4.37,2,0.425,4.24,6.54,0,41.5
R0966,27.05,4.58,1,0.813,4.5,11.33,0,117.8
R0967,17.49,1.23,5,0.631,0.0,4.77,0,75.5
R0968,26.76,3.15,13,0.571,0.0,3.82,0,121.2
R0969,19.77,3.1,3,0.481,10.42,7.69,0,73.8
R0970,8.04,6.76,2,0.74,0.0,8.92,0,50.8
R0971,18.99,5.12,4,0.782,0.0,9.64,0,98.3
R0972,24.88,2.95,8,0.806,0.0,2.49,0,135.6
R0973,27.38,5.06,7,0.683,0.0,1.5,1,102.3
R0974,3.84,2.43,11,0.651,1.42,2.12,0,58.3
R0975,11.34,5.9,4,0.652,0.0,3.96,0,58.1
R0976,12.55,9.45,8,0.39,4.95,2.67,0,64.4
R0977,31.69,2.68,8,0.633,1.2,4.6,0,118.1
R0978,2.62,4.32,10,0.608,0.0,8.89,0,50.4
R0979,4.91,2.52,11,0.676,0.63,3.95,0,66.0
R0980,24.71,2.24,8,0.579,0.0,5.89,1,95.9
R0981,19.58,1.36,6,0.434,15.7,6.23,0,81.5
R0982,8.05,5.79,4,0.393,0.97,8.87,0,50.3
R0983,22.8,5.5,2,0.432,0.0,12.37,1,70.7
R0984,21.98,3.83,11,0.649,0.0,7.14,1,112.2
R0985,18.28,5.43,10,0.742,0.0,3.4,1,99.7
R0986,16.79,3.38,10,0.726,0.0,1.56,0,90.0
R0987,2.17,7.18,4,0.511,10.14,13.69,0,50.2
R0988,12.59,0.84,10,0.657,3.68,11.38,0,88.8
R0989,22.87,1.75,12,0.482,0.0,4.01,0,111.7
R0990,11.72,0.84,4,0.676,0.0,6.66,0,60.6
R0991,8.63,3.69,2,0.758,1.64,10.35,0,57.1
R0992,20.27,2.87,5,0.475,0.0,0.6,1,64.7
R0993,24.72,0.98,13,0.415,5.55,0.18,0,101.7
R0994,9.43,7.13,12,0.524,0.0,3.25,0,68.2
R0995,3.68,4.56,5,0.568,0.0,0.44,0,43.3
R0996,19.17,1.42,12,0.413,0.0,3.0,0,95.8
R0997,24.55,5.06,12,0.564,0.0,3.53,1,106.9
R0998,17.96,3.21,14,0.586,0.0,7.14,1,104.5
R0999,27.66,15.29,2,0.695,0.53,7.56,0,99.8
R1000,18.02,13.19,14,0.343,1.27,0.56,0,87.5
R1001,17.24,14.16,9,0.516,0.0,4.24,0,84.3
R1002,29.59,6.29,9,0.647,8.51,3.72,1,116.1
R1003,15.65,4.21,10,0.532,0.0,2.41,0,81.5
R1004,24.98,9.5,2,0.662,14.69,8.71,0,99.8
R1005,15.0,2.91,8,0.205,0.0,5.38,1,47.4
R1006,3.23,3.36,11,0.875,0.0,7.75,0,71.3
R1007,6.83,2.42,10,0.721,0.0,13.86,0,82.3
R1008,8.51,2.25,4,0.399,1.03,11.43,1,46.9
R1009,22.49,1.0,7,0.211,0.0,8.38,0,84.1
R1010,19.71,4.93,12,0.844,0.0,15.71,0,134.2
R1011,2.15,0.79,12,0.435,4.25,9.28,0,55.2
R1012,3.54,7.23,10,0.818,0.0,1.13,0,55.7
R1013,31.12,3.84,11,0.742,0.0,5.74,0,141.9
R1014,26.62,1.08,9,0.811,0.0,6.82,1,144.9
R1015,8.29,3.2,13,0.812,0.0,8.21,1,88.0
R1016,22.07,3.94,8,0.473,0.0,7.55,1,83.3
R1017,30.1,4.14,3,0.632,4.63,0.37,0,103.5
R1018,25.03,2.84,13,0.564,19.09,3.37,0,128.6
R1019,21.27,9.41,9,0.68,0.0,7.58,0,110.6
R1020,7.87,0.62,14,0.258,0.0,12.65,1,63.6
R1021,6.86,7.03,11,0.628,0.8,8.37,0,75.4
R1022,27.92,4.78,10,0.675,0.0,9.76,0,127.6
R1023,22.62,8.74,3,0.368,0.0,7.34,0,79.7
R1024,26.75,5.54,4,0.672,0.0,3.44,0,95.3
R1025,31.65,4.09,8,0.461,0.0,1.82,0,105.2
R1026,8.02,11.6,11,0.806,0.0,4.01,0,84.2
R1027,10.8,5.76,5,0.668,1.31,3.72,0,58.2
R1028,23.52,0.88,11,0.71,2.65,16.3,0,120.5
R1029,10.54,9.01,4,0.515,0.56,1.34,0,53.0
R1030,7.31,3.99,8,0.457,0.0,1.95,1,50.8
R1031,4.94,4.97,11,0.613,0.0,2.08,0,53.4
R1032,12.53,8.07,8,0.75,0.0,3.83,1,77.0
R1033,1.18,6.92,14,0.811,2.03,6.29,0,74.5
R1034,8.37,5.61,2,0.383,0.0,4.56,1,36.0
R1035,25.63,5.82,6,0.219,0.0,7.34,0,79.2
R1036,24.12,17.22,11,0.845,0.0,18.36,0,165.8
R1037,1.58,2.13,8,0.621,0.0,2.35,0,34.0
R1038,5.81,9.92,7,0.627,0.0,2.94,0,49.0
R1039,4.47,6.11,10,0.889,0.0,8.59,0,76.2
R1040,26.62,3.7,14,0.51,2.38,9.35,0,130.9
R1041,24.47,2.01,5,0.362,0.0,13.76,1,87.7
R1042,29.7,4.37,4,0.829,5.95,1.76,1,129.9
R1043,27.75,7.01,9,0.503,0.13,4.93,0,99.3
R1044,12.8,3.3,8,0.517,0.69,20.57,0,88.0
R1045,11.14,6.86,3,0.375,0.0,8.15,0,46.3
R1046,23.57,1.44,9,0.329,0.0,5.52,1,80.6
R1047,1.29,0.86,5,0.475,6.28,7.26,0,42.0
R1048,18.54,2.17,14,0.483,0.0,10.95,0,106.9
R1049,2.45,9.19,9,0.866,0.0,1.31,0,51.8
R1050,31.16,1.7,4,0.418,0.0,5.1,1,94.6
R1051,16.68,1.57,13,0.656,0.0,6.73,0,96.3
R1052,29.37,4.72,11,0.441,0.0,5.02,0,123.0
R1053,8.9,5.08,12,0.675,0.92,3.51,0,74.8
R1054,4.03,1.88,14,0.769,0.0,5.33,0,79.8
R1055,14.29,7.91,12,0.781,1.27,22.31,0,127.8
R1056,17.05,4.42,12,0.849,0.0,6.53,0,124.9
R1057,20.2,5.9,2,0.85,0.0,6.33,1,92.3
R1058,29.81,3.34,8,0.741,0.0,1.32,0,117.8
R1059,6.15,6.78,10,0.538,0.0,11.72,0,70.6
R1060,19.28,8.68,8,0.677,2.12,1.06,0,83.7
R1061,27.45,2.25,6,0.616,0.0,3.23,1,94.8
R1062,31.34,6.6,13,0.694,0.0,3.81,0,146.0
R1063,8.18,2.23,6,0.698,0.0,7.58,1,59.7
R1064,30.24,1.77,4,0.763,1.34,2.06,0,132.2
R1065,15.16,3.91,11,0.687,0.0,8.28,0,92.1
R1066,4.81,4.82,3,0.209,0.0,4.61,1,27.1
R1067,4.66,3.41,8,0.587,0.0,2.46,0,46.1
R1068,8.86,0.74,9,0.492,0.0,2.22,0,60.5
R1069,7.98,5.29,12,0.197,0.0,2.79,0,59.5
R1070,25.66,3.26,1,0.459,0.0,4.99,0,70.9
R1071,15.8,0.75,4,0.649,0.0,4.24,1,65.5
R1072,6.88,6.46,11,0.689,0.0,1.87,0,76.0
R1073,16.72,11.21,2,0.652,0.0,3.12,0,60.5
R1074,18.42,2.93,8,0.504,0.0,11.27,0,95.7
R1075,24.31,2.46,12,0.939,1.82,2.67,1,148.1
R1076,20.71,3.44,5,0.759,0.0,8.64,0,110.6
R1077,14.56,2.32,7,0.901,0.0,4.65,0,90.6
R1078,24.92,4.93,3,0.766,0.41,13.64,1,116.0
R1079,1.57,2.52,9,0.59,3.2,5.2,1,41.9
R1080,26.03,1.52,6,0.625,0.0,1.77,0,104.8
R1081,27.92,4.91,5,0.628,0.0,1.58,0,93.3
R1082,3.02,0.76,5,0.838,10.45,3.33,1,44.1
R1083,4.01,8.2,7,0.567,0.61,2.74,0,41.4
R1084,23.38,4.76,3,0.807,0.01,19.91,1,118.7
R1085,4.88,2.4,7,0.716,7.42,29.61,1,79.8
R1086,24.69,5.21,6,0.851,0.0,1.61,0,125.4
R1087,24.27,3.59,13,0.578,0.0,6.4,0,123.2
R1088,29.91,3.85,7,0.909,0.0,4.13,0,153.0
R1089,30.21,4.03,14,0.664,0.0,2.74,1,132.7
R1090,9.63,0.73,12,0.728,3.83,5.75,1,82.1
R1091,3.95,6.68,3,0.713,0.0,1.58,0,35.2
R1092,29.24,3.62,10,0.696,0.0,2.63,0,120.4
R1093,1.62,4.64,4,0.8,0.0,14.25,0,50.9
R1094,26.59,1.26,6,0.683,5.69,6.59,0,114.0
R1095,18.89,3.52,13,0.547,0.0,1.17,0,101.1
R1096,1.59,1.54,7,0.534,9.94,5.65,0,40.0
R1097,2.59,2.92,12,0.78,0.0,3.06,0,60.9
R1098,7.12,2.85,5,0.574,3.72,1.53,0,49.3
R1099,26.22,4.15,4,0.731,0.0,4.55,0,99.3
R1100,6.14,1.8,9,0.685,0.0,1.24,0,59.9
R1101,26.51,5.36,12,0.641,0.0,8.78,1,125.9
R1102,1.57,4.52,12,0.759,0.0,3.37,0,61.6
R1103,5.96,1.18,8,0.563,7.5,1.81,1,46.1
R1104,8.2,1.73,2,0.706,0.0,6.92,0,39.8
R1105,12.46,2.89,1,0.571,0.0,11.64,1,46.5
R1106,16.75,1.45,9,0.434,0.7,9.96,0,89.2
R1107,27.49,5.48,7,0.392,16.02,10.38,0,105.0
R1108,10.38,2.93,6,0.331,3.02,1.66,0,48.3
R1109,19.53,5.97,7,0.607,0.0,1.71,0,89.2
R1110,18.66,2.45,9,0.658,3.13,2.94,0,92.7
R1111,26.38,3.87,1,0.678,0.9,1.11,1,72.3
R1112,26.76,6.08,2,0.657,0.21,3.2,0,94.0
R1113,15.01,5.75,4,0.692,3.81,2.98,0,70.9
R1114,3.89,4.73,14,0.568,0.0,3.25,0,68.8
R1115,26.41,3.49,7,0.711,5.17,2.4,0,111.3
R1116,20.47,4.15,5,0.866,0.0,5.51,0,108.7
R1117,12.82,11.38,3,0.439,0.0,0.82,0,49.7
R1118,4.31,4.52,9,0.449,0.0,0.6,0,53.7
R1119,17.32,6.45,6,0.56,0.0,4.2,0,74.1
R1120,20.41,1.58,2,0.454,0.0,8.15,1,69.9
R1121,24.05,8.74,11,0.728,0.0,11.73,0,124.2
R1122,21.72,2.89,4,0.864,0.0,12.72,0,119.8
R1123,5.65,2.37,3,0.32,0.0,8.55,1,28.5
R1124,11.83,8.46,13,0.386,0.0,5.63,0,79.3
R1125,7.34,6.3,10,0.615,0.0,1.85,0,58.8
R1126,14.15,0.57,14,0.635,0.0,16.35,0,104.2
R1127,20.7,6.64,5,0.412,4.58,7.09,0,82.6
R1128,1.15,3.18,4,0.71,0.0,7.57,0,43.9
R1129,14.86,1.4,9,0.826,0.0,3.59,0,95.3
R1130,2.03,4.3,10,0.252,0.0,9.2,1,42.2
R1131,14.48,10.56,1,0.82,8.37,10.26,1,76.8
R1132,11.35,0.38,10,0.489,0.0,2.66,0,68.0
R1133,12.77,5.5,12,0.343,0.19,5.37,0,78.4
R1134,10.67,7.71,6,0.614,0.36,13.64,0,69.7
R1135,1.79,3.74,2,0.707,14.15,0.58,0,25.2
R1136,23.69,2.7,2,0.575,0.64,9.99,0,85.2
R1137,10.55,7.47,2,0.718,0.0,3.33,0,47.2
R1138,10.51,1.72,4,0.438,6.62,3.42,0,52.4
R1139,4.47,2.32,5,0.488,0.0,5.52,0,29.1
R1140,25.17,4.2,11,0.911,0.0,1.28,0,149.0
R1141,6.2,2.99,1,0.87,0.0,6.97,0,41.6
R1142,16.48,2.15,6,0.429,0.0,17.47,0,81.5
R1143,19.72,0.9,2,0.536,1.9,3.03,0,65.0
R1144,23.87,2.62,2,0.478,0.0,3.15,0,71.9
R1145,23.38,8.37,6,0.273,3.78,1.17,0,83.4
R1146,2.56,5.19,12,0.667,0.0,10.94,0,66.3
R1147,25.85,4.76,7,0.597,0.0,14.7,0,120.5
R1148,10.7,2.97,8,0.565,0.96,7.46,1,65.1
R1149,29.34,0.95,5,0.889,0.5,2.6,0,137.4
R1150,7.26,5.69,14,0.455,0.47,9.4,0,79.0
R1151,12.24,2.11,6,0.514,0.0,2.25,0,60.3
R1152,27.62,5.46,6,0.755,0.0,8.62,1,137.3
R1153,6.7,4.15,3,0.8,0.0,0.98,0,44.0
R1154,28.56,2.82,12,0.695,0.13,1.89,0,128.1
R1155,7.28,3.42,2,0.501,1.71,5.98,0,37.4
R1156,21.06,1.84,12,0.605,0.0,4.2,0,98.9
R1157,24.76,6.64,6,0.423,0.0,3.58,0,86.3
R1158,15.3,3.99,12,0.437,2.68,3.92,0,88.0
R1159,31.53,2.77,7,0.629,0.0,6.78,0,121.7
R1160,8.2,8.92,10,0.312,0.0,1.38,0,53.5
R1161,18.8,6.4,7,0.631,2.86,3.62,0,85.1
R1162,16.31,2.48,7,0.594,12.75,0.52,1,78.5
R1163,8.68,8.73,12,0.841,0.0,7.44,0,102.3
R1164,31.49,2.34,2,0.799,0.0,12.09,0,140.6
R1165,9.83,2.57,13,0.303,0.0,2.3,0,68.8
R1166,27.9,2.68,2,0.339,2.33,14.11,1,81.1
R1167,14.48,11.3,8,0.558,0.32,8.8,0,80.1
R1168,24.94,4.83,2,0.352,0.0,13.89,0,77.3
R1169,8.14,2.62,13,0.56,0.0,4.45,0,78.3
R1170,13.8,5.95,13,0.879,0.0,2.75,0,121.2
R1171,28.12,4.3,13,0.342,0.0,9.7,0,109.7
R1172,10.05,4.82,1,0.869,2.35,5.89,0,49.6
R1173,20.15,12.97,12,0.437,0.0,11.25,1,99.9
R1174,20.6,7.32,8,0.654,2.59,3.34,0,95.2
R1175,2.36,1.27,7,0.655,0.0,2.78,0,49.2
R1176,19.67,1.6,10,0.771,0.0,1.72,0,114.2
R1177,21.49,7.55,4,0.857,5.42,11.11,0,115.0
R1178,25.87,5.08,14,0.404,0.0,2.34,0,110.9
R1179,3.47,2.45,4,0.762,0.0,4.96,0,40.1
R1180,30.6,5.64,7,0.833,0.0,2.6,0,150.3
R1181,19.73,4.08,2,0.58,0.0,5.49,0,78.6
R1182,23.79,2.86,1,0.884,3.99,6.31,0,111.3
R1183,20.27,3.67,6,0.401,0.0,10.15,1,76.3
R1184,9.56,2.52,8,0.74,1.29,2.24,0,66.4
R1185,23.3,5.31,7,0.392,0.0,1.45,0,76.5
R1186,30.13,6.07,9,0.932,9.38,1.52,0,163.7
R1187,16.19,4.62,8,0.612,0.0,2.27,0,83.5
R1188,19.88,0.7,6,0.592,3.41,9.34,0,89.8
R1189,31.75,2.76,2,0.861,0.0,5.7,0,147.7
R1190,2.73,8.09,11,0.688,0.0,2.69,0,68.4
R1191,7.07,2.42,2,0.416,0.0,5.74,0,43.5
R1192,26.52,4.36,6,0.582,0.08,5.18,1,92.8
R1193,29.88,2.76,6,0.817,0.0,7.39,0,152.8
R1194,21.84,9.81,9,0.257,0.0,17.06,0,98.7
R1195,25.86,1.96,6,0.794,0.0,3.17,0,131.2
R1196,13.49,0.87,7,0.768,0.0,0.34,1,75.3
R1197,19.2,2.34,6,0.672,0.24,1.98,0,81.7
R1198,21.31,5.42,1,0.789,0.0,3.06,1,89.6
R1199,4.59,1.28,3,0.928,3.49,3.55,0,41.1
R1200,28.29,3.98,4,0.679,0.0,7.56,1,101.1
R1201,9.78,5.18,8,0.732,0.0,7.14,1,71.6
R1202,7.68,2.57,12,0.27,10.01,3.73,0,64.5
R1203,30.49,6.49,2,0.596,1.04,8.46,0,104.4
R1204,19.96,1.29,3,0.887,1.67,11.03,0,101.0
R1205,17.22,3.38,11,0.216,0.0,10.0,0,82.1
R1206,7.76,4.86,2,0.657,0.0,13.84,0,46.3
R1207,23.3,5.66,14,0.79,0.0,0.37,0,139.6
R1208,11.7,1.68,8,0.298,0.0,4.85,0,57.5
R1209,10.7,8.25,10,0.715,1.41,6.39,1,76.1
R1210,13.76,5.5,10,0.752,0.0,8.21,0,104.8
R1211,27.1,3.43,14,0.4,5.01,4.3,0,117.0
R1212,16.88,14.41,3,0.907,0.0,1.68,0,95.9
R1213,28.2,1.75,2,0.746,0.0,4.13,0,94.8
R1214,27.23,4.41,11,0.561,0.0,2.96,1,102.0
R1215,1.87,2.27,4,0.576,4.42,7.88,0,38.3
R1216,6.95,3.56,11,0.447,0.17,5.43,1,59.8
R1217,20.9,4.23,8,0.847,1.01,9.52,0,132.0
R1218,18.59,3.05,4,0.81,0.0,11.19,1,108.4
R1219,14.21,3.62,6,0.773,0.0,3.91,1,85.7
R1220,12.73,5.38,4,0.604,0.0,12.0,0,63.7
R1221,22.82,5.06,10,0.514,0.0,7.91,0,105.5
R1222,20.27,3.87,11,0.427,0.0,7.56,0,90.7
R1223,12.29,1.51,11,0.745,0.0,6.94,0,89.9
R1224,16.18,6.56,2,0.47,0.0,14.68,0,67.5
R1225,3.4,1.62,7,0.39,0.0,9.85,1,40.3
R1226,3.41,4.96,11,0.428,12.74,8.16,1,66.7
R1227,13.81,3.64,9,0.871,1.51,10.57,1,96.8
R1228,17.8,1.77,2,0.634,0.0,6.25,0,73.0
R1229,20.55,2.45,11,0.812,0.0,5.91,0,130.7
R1230,30.6,3.25,8,0.495,0.0,5.9,0,109.6
R1231,5.93,0.83,10,0.516,0.0,6.41,0,59.5
R1232,27.23,1.39,1,0.705,0.0,2.01,0,89.9
R1233,1.98,5.72,7,0.533,0.0,0.78,0,40.6
R1234,31.28,4.05,12,0.557,2.22,3.09,0,126.7
R1235,8.98,5.34,7,0.826,6.66,0.89,0,79.4
R1236,13.49,6.75,4,0.433,0.0,13.9,1,66.8
R1237,23.62,2.9,11,0.597,0.0,0.14,0,106.5
R1238,9.61,1.69,10,0.78,1.09,1.35,0,74.5
R1239,26.43,5.14,4,0.6,2.71,12.01,0,100.5
R1240,8.3,8.88,8,0.364,0.0,8.6,0,63.1
R1241,5.79,1.4,4,0.636,0.0,3.03,0,44.0
R1242,2.41,1.05,4,0.6,0.0,6.84,0,31.4
R1243,26.47,10.17,3,0.711,0.0,4.29,0,93.2
R1244,9.54,2.53,8,0.354,3.5,9.83,0,67.3
R1245,13.28,8.94,4,0.496,0.0,9.81,0,65.0
R1246,24.91,3.96,5,0.503,3.96,5.89,0,93.4
R1247,13.23,1.84,4,0.547,14.89,3.45,0,68.4
R1248,29.73,0.96,6,0.627,0.0,8.49,0,109.1
R1249,19.21,3.3,10,0.9,0.0,7.18,0,130.4
R1250,8.64,2.26,14,0.764,0.08,3.3,0,95.3
R1251,8.4,1.42,5,0.749,0.0,12.82,0,63.2
R1252,5.95,4.64,11,0.405,5.83,4.22,0,63.9
R1253,28.89,1.26,2,0.691,12.06,13.9,0,110.8
R1254,30.87,8.42,1,0.687,0.0,13.83,0,109.6
R1255,29.84,6.28,14,0.6,0.0,5.43,0,134.3
R1256,20.68,1.46,1,0.82,0.0,3.18,1,87.1
R1257,28.12,0.98,9,0.819,0.0,4.12,0,148.0
R1258,9.52,0.97,11,0.922,1.59,16.24,0,106.4
R1259,4.9,7.77,3,0.327,0.0,5.33,0,38.1
R1260,26.53,0.86,6,0.701,0.13,2.66,1,89.7
R1261,16.63,3.11,11,0.456,2.39,3.12,0,85.3
R1262,16.0,1.18,7,0.694,2.61,13.78,0,86.9
R1263,26.98,5.64,14,0.519,0.0,1.88,0,117.7
R1264,20.03,6.87,14,0.699,5.98,4.24,0,126.4
R1265,23.09,2.75,3,0.805,7.27,1.66,0,112.8
R1266,11.9,7.32,14,0.334,0.0,15.72,0,92.6
R1267,29.19,1.49,7,0.6,2.3,13.92,0,119.7
R1268,11.54,10.97,6,0.668,0.0,6.8,0,66.9
R1269,4.99,6.89,10,0.537,0.0,2.0,0,56.3
R1270,26.82,4.29,12,0.669,0.0,8.95,0,134.2
R1271,5.6,6.71,9,0.377,0.14,5.63,0,53.9
R1272,6.14,8.1,1,0.562,4.77,10.06,0,32.1
R1273,29.53,2.82,1,0.242,0.0,6.2,0,76.2
R1274,16.28,2.96,3,0.527,0.0,6.63,0,58.4
R1275,5.1,2.65,1,0.718,0.0,4.98,1,32.6
R1276,6.29,8.67,7,0.462,0.0,7.89,0,53.0
R1277,26.59,2.44,14,0.597,9.99,8.31,0,137.1
R1278,11.68,3.26,7,0.534,0.0,2.45,0,67.4
R1279,9.34,4.16,13,0.703,0.0,3.73,0,85.1
R1280,22.38,6.39,10,0.866,4.86,5.86,0,138.5
R1281,16.3,8.98,1,0.874,0.0,2.1,0,79.7
R1282,23.2,2.5,10,0.312,0.0,4.19,0,90.9
R1283,31.87,7.06,11,0.693,0.0,9.36,0,141.1
R1284,9.25,3.34,12,0.842,0.88,2.4,1,91.5
R1285,20.38,7.81,11,0.339,0.62,4.31,0,95.4
R1286,7.24,4.04,14,0.543,0.0,4.68,1,68.4
R1287,14.7,4.49,13,0.76,0.0,3.9,0,115.7
R1288,26.24,4.79,8,0.616,2.25,7.78,0,118.2
R1289,31.59,3.49,2,0.537,5.65,0.63,0,93.3
R1290,7.78,4.31,5,0.771,0.0,1.17,0,53.8
R1291,22.48,5.68,8,0.255,0.92,2.77,0,74.7
R1292,4.87,3.12,2,0.545,0.21,12.59,0,36.0
R1293,31.28,4.1,10,0.512,8.11,7.45,0,124.6
R1294,23.1,1.74,5,0.675,0.0,3.44,0,88.7
R1295,30.26,1.23,5,0.279,0.08,3.73,1,83.7
R1296,30.81,1.47,14,0.435,2.34,1.39,0,118.6
R1297,4.37,1.49,9,0.657,0.0,4.66,0,59.9
R1298,8.86,9.15,9,0.774,0.0,4.07,0,83.0
R1299,31.46,3.44,8,0.872,2.54,6.78,0,165.5
R1300,26.4,5.43,9,0.907,0.0,4.55,1,144.7
R1301,8.25,4.66,10,0.425,0.0,0.68,0,57.5
R1302,8.74,0.91,4,0.449,3.57,13.35,0,56.1
R1303,21.47,7.02,3,0.808,0.0,2.97,0,102.3
